Name,Email,Role,App access,Groups,Date added
Fern Ueda,fern.ueda@ext-57a260.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025 PartnerOne,2025-08-11T07:56:49.606Z
Fern Vega,fern.vega@ext-321b87.com,User,Designer,members Bootcamp_EMEA_February_2026,2025-09-26T09:04:37.494Z
Gray Park,gray.park@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-11T22:40:01.473Z
Fern Xia,fern.xia@ext-26da4f.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:53:13.710Z
Fern Xu,fern.xu@ext-591bfe.com,User,Designer AutoSync,members AgentCreatorTraining PartnerTwo,2025-04-07T08:24:35.939Z
Fern Zhu,fern.zhu@ext-7bf6fa.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-11T22:38:26.614Z
Finley Chen,finley.chen@ext-660f96.com,User,Designer,members AgentCreatorBootcamp_AMER_May_2025 AgentCreatorBootcamp_EMEA_May_2025 AgentCreatorBootcamp_EMEA_June_2025,2025-05-12T15:00:50.349Z
Finley Ellis,finley.ellis@ext-9c4f44.com,User,Designer,members AgentCreatorBootcamp_CustomerAlpha,2026-07-19T12:42:36.675Z
Finley Foster,finley.foster@ext-e23ed7.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_May_2025,2025-05-18T20:53:28.336Z
Finley Garcia,finley.garcia@ext-8de689.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:09:07.945Z
Finley Harris,finley.harris@ext-5ad5df.com,User,Designer,members AgentCreatorBootcamp_CustomerAlpha,2026-07-20T05:20:02.897Z
Finley Kim,finley.kim@ext-626339.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:09:19.654Z
Finley Miller,finley.miller@ext-f34ab7.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-01-27T10:35:18.484Z
Finley Moss,finley.moss@ext-40fcab.com,User,Designer,members AgentCreatorBootcamp_AMER_May_2025,2025-05-15T18:20:23.184Z
Gray Vance,gray.vance@snaplogic.com,User,Designer,members,2026-01-31T17:22:06.841Z
Finley Ortiz,finley.ortiz@ext-8bf904.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025 PartnerOne,2025-10-06T16:16:07.751Z
Finley Quinn,finley.quinn@ext-f34ab7.com,User,Designer AutoSync,members AgentCreatorPartnerTraining,2024-08-26T06:21:49.683Z
Finley Vance,finley.vance@ext-387eea.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-11T22:38:32.167Z
Gray Vega,gray.vega@snaplogic.com,User,Designer,members,2026-01-31T17:21:18.843Z
Gray Wang,gray.wang@snaplogic.com,User,Designer,members,2024-04-04T10:01:54.472Z
Finley Vance,finley.vance@ext-ee563a.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:42:22.735Z
Finley Wells,finley.wells@ext-7bf6fa.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T08:54:33.710Z
Finley Xu,finley.xu@ext-591bfe.com,User,Designer,members US_Bootcamp_August_2025,2025-08-07T14:33:24.054Z
Finley Xu,finley.xu@ext-634bab.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025,2025-10-06T16:14:49.906Z
Finley Zhu,finley.zhu@ext-26da4f.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_May_2025,2025-05-18T20:57:26.584Z
Gray Adams,gray.adams@ext-a876a8.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:52:27.897Z
Gray Yamada,gray.yamada@snaplogic.com,Environment admin,Designer AutoSync,members admins,2024-03-20T16:44:52.964Z
Gray York,gray.york@snaplogic.com,User,Designer,members US_Bootcamp_August_2025,2024-12-20T07:37:54.729Z
Harper Cooper,harper.cooper@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2024-05-22T13:08:13.019Z
Harper Davis,harper.davis@snaplogic.com,Environment admin,Designer AutoSync,members admins,2024-02-02T10:41:26.271Z
Gray Chen,gray.chen@ext-f34ab7.com,User,Designer,members AgentCreatorBootcamp_EMEA_June_2025 AgentCreatorBootcamp_EMEA_May_2026,2025-06-15T21:17:24.639Z
Gray Davis,gray.davis@ext-11b1b5.com,User,Designer AutoSync,members AgentCreatorPartnerTraining,2025-01-28T09:51:32.437Z
Gray Diaz,gray.diaz@ext-2b7a1c.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:42:48.031Z
Gray Flynn,gray.flynn@ext-8de689.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2025-10-13T09:06:56.546Z
Gray Garcia,gray.garcia@ext-5e8879.com,User,,members,2024-01-11T10:23:36.866Z
Harper Evans,harper.evans@snaplogic.com,User,Designer,members,2026-01-31T17:22:16.921Z
Gray Iyer,gray.iyer@ext-36a867.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:42:36.016Z
Gray Iyer,gray.iyer@ext-387eea.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025,2024-11-01T15:38:36.642Z
Gray Lopez,gray.lopez@ext-0a199e.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-22T19:06:11.387Z
Gray Park,gray.park@ext-1d67bb.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:21:35.247Z
Gray Park,gray.park@ext-f34ab7.com,User,Designer,members CustomerCharlie_AiWorkshop,2025-12-16T17:57:25.187Z
Gray Wells,gray.wells@ext-44cf86.com,User,Designer,members PartnerFive,2024-06-13T09:06:08.338Z
Gray Xu,gray.xu@ext-298aa5.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:43:01.648Z
Gray Xu,gray.xu@ext-591bfe.com,User,Designer,members AgentCreatorBootcamp_AMER_May_2025 AgentCreatorBootcamp_EMEA_June_2025,2025-05-12T15:00:49.636Z
Gray Zhang,gray.zhang@ext-445152.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T06:57:36.008Z
Gray Zhang,gray.zhang@ext-a876a8.com,User,Designer,members customer_delta_mobility AgentCreatorTraining_CustomerBravo,2024-12-06T11:16:57.696Z
Gray Zhu,gray.zhu@ext-5e285b.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:17:04.348Z
Harper Brooks,harper.brooks@ext-591bfe.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025 PartnerTwo,2025-06-15T21:17:39.709Z
Harper Cooper,harper.cooper@ext-bb22e0.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-22T12:13:52.435Z
Harper Garcia,harper.garcia@ext-0ffece.com,User,Designer,members AgentCreatorBootcamp_AMER_May_2025,2025-05-12T15:00:46.311Z
Harper Ibarra,harper.ibarra@ext-5e8879.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_May_2025,2025-05-18T20:54:25.348Z
Harper Ibarra,harper.ibarra@ext-7e0fff.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:51:46.980Z
Harper Holt,harper.holt@snaplogic.com,User,Designer,members,2026-01-31T17:22:22.512Z
Harper Iyer,harper.iyer@ext-06ae6b.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025,2025-08-08T15:23:32.958Z
Harper Luna,harper.luna@ext-0bcee0.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025 AgentCreatorBootcamp_EMEA_November_2025,2025-10-06T16:09:38.772Z
Harper Iyer,harper.iyer@snaplogic.com,Environment admin,Designer AutoSync,members admins,2024-12-05T18:09:13.881Z
Harper Nguyen,harper.nguyen@ext-138750.com,Environment admin,Designer,members admins,2025-05-15T15:55:55.593Z
Harper Ortiz,harper.ortiz@ext-387eea.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025,2025-10-06T16:13:13.920Z
Harper Reyes,harper.reyes@ext-591bfe.com,User,Designer AutoSync,members AgentCreatorTraining_CustomerBravo,2025-04-28T10:45:01.106Z
Harper Singh,harper.singh@snaplogic.com,Environment admin,Designer,members admins,2025-07-16T14:42:07.439Z
Hayden Evans,hayden.evans@snaplogic.com,User,Designer AutoSync,members,2024-10-16T15:05:33.235Z
Hayden Knox,hayden.knox@snaplogic.com,Environment admin,Designer,members admins,2023-05-04T22:24:27.414Z
Harper Torres,harper.torres@ext-26da4f.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T06:57:15.983Z
Harper Wang,harper.wang@ext-fc167d.com,User,Designer,members,2026-03-27T16:53:19.911Z
Harper Xia,harper.xia@ext-591bfe.com,User,Designer AutoSync,members PartnerThree AgentCreatorPartnerTraining AgentCreatorTraining AgentCreatorBootcamp_EMEA_May_2025 PartnerThree_Demos AgentCreatorBootcamp_EMEA_June_2025 AgentCreatorBootcamp_AMEA_August_2025 AgentCreatorBootcamp_EMEA_October_2025,2025-01-28T09:50:14.929Z
Hayden Tran,hayden.tran@snaplogic.com,Environment admin,Designer,members admins,2023-09-22T17:52:32.621Z
Harper Zhang,harper.zhang@ext-7bf6fa.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_May_2025,2025-05-18T20:57:13.137Z
Harper Zhu,harper.zhu@ext-f34ab7.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025,2025-08-08T15:22:28.770Z
Hayden Chen,hayden.chen@ext-669f45.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_May_2025 PartnerOne,2025-05-18T20:54:36.736Z
Hayden Jensen,hayden.jensen@ext-591bfe.com,User,Designer,members AgentCreatorBootcamp_AMER_May_2025,2025-05-12T15:00:50.927Z
Hayden Ueda,hayden.ueda@snaplogic.com,User,Designer,members,2026-01-31T17:22:27.880Z
Hayden Knox,hayden.knox@ext-e42d60.com,User,,members,2024-01-11T10:24:06.127Z
Hayden Nash,hayden.nash@ext-8e55ec.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:43:16.197Z
Indira Evans,indira.evans@snaplogic.com,Environment admin,Designer AutoSync,members admins,2026-07-08T21:02:41.163Z
Hayden Osei,hayden.osei@ext-26da4f.com,User,Designer,members AgentCreatorBootcamp_CustomerAlpha,2026-07-20T05:20:18.514Z
Hayden Reid,hayden.reid@ext-387eea.com,User,Designer,members,2025-08-07T08:03:42.107Z
Hayden Reid,hayden.reid@ext-445152.com,User,AutoSync Designer,members AgentCreatorBootcamp_EMEA_May_2025,2025-05-18T20:54:48.481Z
Hayden Tran,hayden.tran@ext-387eea.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-02-03T16:41:58.872Z
Hayden Tran,hayden.tran@ext-e8824e.com,User,Designer,members AgentCreatorBootcamp_CustomerAlpha,2026-07-19T12:44:04.007Z
Hayden Utley,hayden.utley@ext-f34ab7.com,User,Designer,members AgentCreatorBootcamp_EMEA_June_2025 PartnerTwo,2025-06-30T15:55:05.350Z
Hayden Vega,hayden.vega@ext-8bfe2a.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025,2025-08-08T15:18:24.872Z
Hayden York,hayden.york@ext-26da4f.com,User,Designer,members US_Bootcamp_August_2025,2025-08-07T14:31:15.656Z
Hayden York,hayden.york@ext-7abd01.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:40:59.979Z
Indira Luna,indira.luna@snaplogic.com,User,Designer,members,2026-01-31T17:22:38.986Z
Hayden York,hayden.york@ext-a876a8.com,User,Designer,members Bootcamp_EMEA_February_2026,2025-01-09T11:54:58.759Z
Hayden Zhu,hayden.zhu@ext-26da4f.com,User,Designer AutoSync,members AgentCreatorTraining,2025-04-07T08:21:52.077Z
Indira Brooks,indira.brooks@ext-387eea.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-11T22:39:49.678Z
Indira Davis,indira.davis@ext-1dfcd7.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:43:31.179Z
Indira Davis,indira.davis@ext-6750f5.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T06:57:05.026Z
Indira Davis,indira.davis@ext-b2d11f.com,User,Designer AutoSync,members AgentCreatorTraining,2024-11-22T04:53:56.361Z
Indira Diaz,indira.diaz@ext-26da4f.com,User,Designer,members US_Bootcamp_August_2025,2025-08-07T14:28:10.802Z
Indira Osei,indira.osei@snaplogic.com,Environment admin,Designer AutoSync,members admins,2024-10-17T07:16:30.796Z
Indira Garcia,indira.garcia@ext-591bfe.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:29:10.209Z
Indira Jensen,indira.jensen@ext-1d67bb.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T06:57:02.073Z
Indira Jensen,indira.jensen@ext-f34ab7.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:10:03.904Z
Indira Moss,indira.moss@ext-d55f9c.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025 AgentCreatorBootcamp_EMEA_November_2025 PartnerFour,2025-10-06T16:13:26.320Z
Indira Shah,indira.shah@ext-f34ab7.com,User,Designer,members US_Bootcamp_August_2025,2025-08-11T15:57:57.336Z
Indira Reid,indira.reid@snaplogic.com,User,Designer,members,2026-04-08T12:00:35.993Z
Indira Ueda,indira.ueda@snaplogic.com,Environment admin,Designer AutoSync,members admins,2023-09-25T05:44:38.507Z
Indira Utley,indira.utley@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-11T22:39:45.683Z
Indira Xu,indira.xu@snaplogic.com,User,Designer,members,2026-01-31T17:23:26.871Z
Indira Utley,indira.utley@ext-84f9b1.com,User,Designer AutoSync,members AgentCreatorTraining PartnerTwo,2025-04-07T08:25:39.844Z
Indira Utley,indira.utley@ext-8b4821.com,User,Designer,members US_Bootcamp_August_2025,2025-08-07T14:32:19.246Z
Indira Vance,indira.vance@ext-9bcd09.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:43:41.022Z
Indira Xia,indira.xia@ext-9bcd09.com,User,Designer,members,2026-03-27T16:52:09.814Z
Indira York,indira.york@ext-9f4eff.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-22T12:14:32.442Z
Jamie Diaz,jamie.diaz@ext-65dca4.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-20T13:12:05.431Z
Jamie Evans,jamie.evans@ext-9a0743.com,User,Designer,members CustomerCharlie_AiWorkshop,2025-12-16T17:57:35.374Z
Jamie Harris,jamie.harris@ext-298aa5.com,User,Designer,members AgentCreatorBootcamp_EMEA_May_2026,2026-05-17T21:19:25.304Z
Jamie Harris,jamie.harris@ext-a79f07.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025,2024-08-21T10:15:34.775Z
Jamie Holt,jamie.holt@ext-0ffece.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T06:58:29.926Z
Jamie Evans,jamie.evans@snaplogic.com,Environment admin,Designer AutoSync,members admins,2024-10-07T21:29:24.396Z
Jamie Kim,jamie.kim@ext-387eea.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:22:35.563Z
Jamie Knox,jamie.knox@ext-387eea.com,User,Designer,members CustomerCharlie_AiWorkshop,2025-12-16T17:57:40.592Z
Jamie Luna,jamie.luna@ext-c1bbf2.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T06:56:55.033Z
Jamie Moss,jamie.moss@snaplogic.com,Environment admin,Designer AutoSync,members admins,2024-02-29T20:44:32.864Z
Jamie Moss,jamie.moss@ext-26da4f.com,User,Designer AutoSync,members PartnerThree PartnerThree_Demos,2025-03-25T12:12:09.804Z
Jamie Nguyen,jamie.nguyen@ext-7bf6fa.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-11T22:25:23.359Z
Jamie Ortiz,jamie.ortiz@ext-669f45.com,User,Designer,members AgentCreatorBootcamp_EMEA_May_2026,2026-05-17T21:18:14.231Z
Jamie Quinn,jamie.quinn@ext-97c6c3.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-12T10:46:38.226Z
Jamie Osei,jamie.osei@snaplogic.com,User,Designer,members,2026-01-31T17:23:32.872Z
Jamie Xu,jamie.xu@snaplogic.com,User,Designer,members,2026-01-31T17:23:39.653Z
Jamie Quinn,jamie.quinn@ext-a0fc39.com,User,Designer,members AgentCreatorBootcamp_EMEA_June_2025,2025-05-15T15:53:40.457Z
Jamie Vega,jamie.vega@ext-44cf86.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-22T12:10:01.415Z
Jamie Xu,jamie.xu@ext-be3f8a.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:47:36.986Z
Jamie Xu,jamie.xu@ext-f17098.com,User,Designer,members PartnersReadOnly,2024-01-10T09:10:04.830Z
Jamie Yamada,jamie.yamada@ext-f831a9.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025 PartnerOne,2025-11-23T18:46:18.606Z
Jordan Adams,jordan.adams@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-23T09:42:21.883Z
Jordan Diaz,jordan.diaz@snaplogic.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-16T09:52:16.014Z
Jordan Foster,jordan.foster@snaplogic.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-23T09:53:06.615Z
Jordan Knox,jordan.knox@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-23T09:41:42.843Z
Jordan Shah,jordan.shah@snaplogic.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-23T10:22:27.830Z
Jordan Singh,jordan.singh@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-23T09:41:48.506Z
Jordan Zhang,jordan.zhang@snaplogic.com,User,Designer,members,2026-03-03T00:31:58.237Z
Kai Evans,kai.evans@snaplogic.com,Environment admin,,members admins,2026-03-03T13:04:18.074Z
Kai Vance,kai.vance@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-23T09:42:06.246Z
Kai Wang,kai.wang@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-12T09:54:08.431Z
Kelly Flynn,kelly.flynn@snaplogic.com,User,Designer,members,2026-02-23T09:56:28.496Z
Kelly Moss,kelly.moss@snaplogic.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-23T10:22:35.012Z
Kelly Ortiz,kelly.ortiz@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-23T09:42:33.820Z
Lane Harris,lane.harris@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-23T09:42:03.253Z
Lane Holt,lane.holt@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-23T09:42:13.427Z
Lane Miller,lane.miller@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-23T09:41:55.990Z
Lane Ueda,lane.ueda@snaplogic.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-23T10:22:42.969Z
Lane Zhang,lane.zhang@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-23T09:41:58.782Z
Lee Brooks,lee.brooks@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-23T09:42:27.697Z
Lee Grant,lee.grant@snaplogic.com,Environment admin,Designer,members admins AgentCreatorBootcamp_EMEA_January_2026,2023-08-29T15:34:27.928Z
Jordan Davis,jordan.davis@ext-387eea.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-11T22:27:47.387Z
Jordan Ellis,jordan.ellis@ext-591bfe.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025,2025-08-11T10:48:31.793Z
Jordan Foster,jordan.foster@ext-f34ab7.com,User,Designer,members AgentCreatorBootcamp_CustomerAlpha,2026-07-19T12:42:38.316Z
Jordan Harris,jordan.harris@ext-7bf6fa.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025,2025-06-15T21:16:32.673Z
Jordan Holt,jordan.holt@ext-591bfe.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:51:32.039Z
Jordan Miller,jordan.miller@ext-591bfe.com,User,Designer,members AgentCreatorBootcamp_AMER_May_2025,2025-05-12T15:00:51.471Z
Jordan Ortiz,jordan.ortiz@ext-7f91a9.com,User,Designer,members AgentCreatorBootcamp_CustomerAlpha,2026-07-19T12:43:56.191Z
Lee Harris,lee.harris@snaplogic.com,User,Designer AutoSync,members,2024-10-21T15:39:40.177Z
Lee Lopez,lee.lopez@snaplogic.com,Environment admin,Designer,members admins,2023-12-19T15:57:41.046Z
Jordan Osei,jordan.osei@ext-9c4f44.com,User,Designer,members CustomerCharlie_AiWorkshop,2025-12-16T17:57:46.896Z
Jordan Quinn,jordan.quinn@ext-591bfe.com,User,Designer,members,2025-11-23T14:34:01.177Z
Jordan Shah,jordan.shah@ext-387eea.com,User,Designer,members,2025-11-23T14:40:27.883Z
Jordan Wang,jordan.wang@ext-73c6f0.com,User,Designer AutoSync,members AgentCreatorTraining PartnerTwo,2025-04-07T08:25:59.085Z
Lee Park,lee.park@snaplogic.com,User,Designer,members,2026-01-31T17:23:45.916Z
Jordan Wells,jordan.wells@ext-dca959.com,User,Designer,members AgentCreatorBootcamp_AMER_May_2025 AgentCreatorBootcamp_EMEA_May_2025,2025-05-12T15:00:49.041Z
Jordan Zhang,jordan.zhang@ext-d8144d.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:44:09.127Z
Kai Chen,kai.chen@ext-f81e0a.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-22T12:09:16.022Z
Kai Diaz,kai.diaz@ext-591bfe.com,User,Designer,members US_Bootcamp_August_2025,2025-08-11T16:21:33.120Z
Lee Reyes,lee.reyes@snaplogic.com,User,,members_devportal,2024-02-02T10:44:46.172Z
Lee Tran,lee.tran@snaplogic.com,User,,members,2024-05-16T09:47:17.881Z
Mack Flynn,mack.flynn@snaplogic.com,Environment admin,Designer AutoSync,members admins,2023-10-13T16:17:10.120Z
Mack Harris,mack.harris@snaplogic.com,Environment admin,AutoSync Designer,members admins,2025-11-03T11:12:55.305Z
Mack Moss,mack.moss@snaplogic.com,User,Designer,members,2026-01-31T17:23:55.312Z
Kai Diaz,kai.diaz@ext-8de689.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:44:35.029Z
Mack Quinn,mack.quinn@snaplogic.com,Environment admin,Designer AutoSync,members admins Bootcamp_US_June_2025 US_Bootcamp_August_2025,2024-12-02T18:28:52.415Z
Kai Iyer,kai.iyer@ext-445152.com,User,,members,2024-01-11T10:25:50.292Z
Kai Iyer,kai.iyer@ext-7bf6fa.com,User,AutoSync Designer,members AgentCreatorBootcamp_EMEA_May_2025,2025-05-18T20:56:47.130Z
Kai Nguyen,kai.nguyen@ext-f831a9.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:44:19.515Z
Kai Patel,kai.patel@ext-84f9b1.com,User,Designer,members AgentCreatorBootcamp_CustomerAlpha,2026-07-19T12:43:16.092Z
Kai Reid,kai.reid@ext-0ffece.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-22T19:04:39.732Z
Mack Zhang,mack.zhang@snaplogic.com,User,Designer,members,2026-01-31T17:25:04.520Z
Morgan Adams,morgan.adams@snaplogic.com,User,Designer,members,2026-01-31T17:25:07.085Z
Kai Shah,kai.shah@ext-f34ab7.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_June_2025 Bootcamp_US_June_2025,2025-06-15T21:28:02.588Z
Kai Ueda,kai.ueda@ext-84f9b1.com,User,Designer,members PartnerFive,2024-06-13T09:06:34.079Z
Kai Vega,kai.vega@ext-51acd7.com,User,Designer,members AgentCreatorBootcamp_EMEA_May_2026,2025-07-16T13:25:12.996Z
Kai Xia,kai.xia@ext-591bfe.com,User,Designer,members,2024-04-10T08:29:07.151Z
Kai Xia,kai.xia@ext-efaeaa.com,User,Designer,members AgentCreatorBootcamp_EMEA_May_2026,2026-05-17T21:19:47.340Z
Morgan Brooks,morgan.brooks@snaplogic.com,User,Designer,members,2026-01-31T17:25:11.260Z
Kai Zhu,kai.zhu@ext-7e0fff.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:47:06.741Z
Kelly Davis,kelly.davis@ext-f34ab7.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T06:58:15.149Z
Kelly Flynn,kelly.flynn@ext-f34ab7.com,User,Designer AutoSync,members PartnerThree AgentCreatorPartnerTraining AgentCreatorBootcamp_EMEA_May_2025 PartnerThree_Demos,2025-01-28T09:51:08.212Z
Morgan Davis,morgan.davis@snaplogic.com,Environment admin,Designer AutoSync,members admins,2024-07-30T10:04:51.723Z
Kelly Holt,kelly.holt@ext-b4b17f.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025 AgentCreatorBootcamp_EMEA_November_2025,2025-10-06T16:16:42.823Z
Morgan Diaz,morgan.diaz@snaplogic.com,Environment admin,Designer AutoSync,members admins,2024-12-10T20:07:37.736Z
Kelly Kim,kelly.kim@ext-ba0cb2.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2024-10-01T16:23:51.065Z
Kelly Miller,kelly.miller@ext-1dfcd7.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-22T12:11:02.315Z
Morgan Moss,morgan.moss@snaplogic.com,Environment admin,Designer,members admins,2024-04-09T08:15:51.626Z
Morgan Zhu,morgan.zhu@snaplogic.com,Environment admin,Designer,members admins,2024-04-19T17:19:34.386Z
Kelly Park,kelly.park@ext-749b6d.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-22T12:09:54.696Z
Nash Brooks,nash.brooks@snaplogic.com,Environment admin,Designer AutoSync,members admins,2025-01-17T18:19:20.102Z
Kelly Reyes,kelly.reyes@ext-023686.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:50:17.642Z
Kelly Tran,kelly.tran@ext-1ea88d.com,User,Designer,members Bootcamp_EMEA_February_2026 AgentCreatorBootcamp_EMEA_March_2026 AgentCreatorBootcamp_EMEA_May_2026,2026-02-22T12:13:05.961Z
Kelly Utley,kelly.utley@ext-591bfe.com,User,Designer,members US_Bootcamp_August_2025 AgentCreatorBootcamp_EMEA_October_2025 AgentCreatorBootcamp_EMEA_November_2025 PartnerOne AgentCreatorBootcamp_EMEA_January_2026 Bootcamp_EMEA_February_2026,2025-08-07T14:25:23.384Z
Kelly Vega,kelly.vega@ext-387eea.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:51:01.066Z
Nash Diaz,nash.diaz@snaplogic.com,User,Designer,members,2026-01-31T17:25:18.430Z
Kelly Vega,kelly.vega@ext-9c4f44.com,User,Designer,members Bootcamp_EMEA_February_2026,2024-04-09T08:20:34.040Z
Nash Nash,nash.nash@snaplogic.com,User,Designer,members,2026-01-31T17:26:02.745Z
Kelly Wang,kelly.wang@ext-591bfe.com,User,Designer,members AgentCreatorBootcamp_CustomerAlpha,2026-07-19T12:42:25.023Z
Kelly Wang,kelly.wang@ext-9c4f44.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:49:01.283Z
